Neighborhood,MeanSalePriceOfNeighbours
Blmngtn,194870.88235294117
Blueste,137500.0
BrDale,104493.75
BrkSide,124834.05172413793
ClearCr,212565.42857142858
CollgCr,197965.77333333335
Crawfor,210624.72549019608
Edwards,128219.7
Gilbert,192854.50632911394
IDOTRR,100123.78378378379
MeadowV,98576.4705882353
Mitchel,156270.1224489796
NAmes,145847.08
NPkVill,142694.44444444444
NWAmes,189050.0684931507
NoRidge,335295.31707317074
NridgHt,316270.6233766234
OldTown,128225.30088495575
SWISU,142591.36
Sawyer,136793.13513513515
SawyerW,186555.7966101695
Somerst,225379.83720930232
StoneBr,310499.0
Timber,242247.44736842104
Veenker,238772.72727272726
